Lexical Item,Part of Speech,Example
more or less,,
move on,,
never heard of sb/sth,,
"next-door (adj), next door (adv)",,"next-door neighbor, the flat next door"
no such thing,,
no wonder,,
nothing but,,
now and then,,
old fashioned,,
on and off,,
on average,,
on behalf of,,
on board,,There were 500 passengers on board.
on the contrary,,
on the grounds (that/of),,I declined the offer on the grounds of my health.
open up sth / open sth up,,
or so,,ten or so
or something (like that),,
other than,,
out of,,The table is made out of wood. Out of all the people I saw today I enjoyed seeing the most!
out of date,,
owing to,,
part-time,,
pass away,,
pass on sth / pass sth on,,Please pass on this message as soon as you can.
pay attention (to sth),,
"pay off sth / pay sth off, pay off",,"We paid off our debts at last! His efforts paid off."
point out sth / point sth out,,
prior to,,
provided that,,
put down sth / put sth down,,Put down your bags and come in.
put forward sth / put sth forward,,The students have put forward a proposal to shorten the term.
put off sth / put sth off,,
put on sth / put sth on,,
put sth together / put together sth,,
put up sb/put sb up,,Can you put me up overnight?
put up with,,I won't put up with this nonsense!
refer to,,He referred to his parents as "my folks".
regardless (of),,
relate(d) to sb/sth,,Many youngsters can't relate to old people.
rely on/upon,,
result in,,
run into,,I ran into him the other day which was a nice surprise.
run out (of),,We ran out of paper
run over,,The car ran over the dog.
set off,,They set off on their journey.
set out,,They set out at sunrise
set out / set out sth / set sth out,,The teacher set out the rules on the first day of class.
settle down,,
shake hands,,
shake your head,,He shook his head in disagreement.
short of sth,,He was short of time.
short term/in the short term,,
long term/in the long term,,
show up,,She showed up earlier than expected.
shut down (sth) / shut down (sth),,We shut down the computer.
shut (sb) up,,You're talking too much: shut up!
slow down,,
so as to,,
so-called,,His so-called friends didn't help him.
stand for,,UN stands for United Nations
stand out,,
stand up for sb/sth,,
stand up to sb/sth,,
start out,,
straight away,,
such as,,
sum up sth/sb / sum sth/sb up,,
supposed to do/be sth,,You were supposed to be ready at six o'clock.
take advantage of sth/sbd,,"I took advantage of my free time to catch up on work. You shouldn't take advantage of someone's weakness."
take back sth / take sth back,,
take for granted,,
take off,,The plane took off (fly). I took off my hat (remove).
take on sb/take sb on / take on sth / take sth on,,We took on too much work. We took too much work on ourselves.
take over sth/take sth over,,
take turns,,
take up sth/take sth up,,It takes up too much time. She took up dancing.
that sort of thing,,
that's it,,
the idea of,,
the main thing,,
the other day/week,,
the other way round/around,,
the thing is...,,
these days,,
things like that,,
think over sth or think sth over,,
throw up,,If you eat too much chocolate you might throw up.
to date,,
to some extent/to a certain extent,,
turn (sth) back,,
turn down sb/sth / turn sb/sth down,,She proposed marriage and he turned her down.
turn down sth / turn sth down,,Please turn down the volume. Please turn it down.
turn off sth / turn sth off,,
turn on sth / turn sth on,,
turn out,,Everything turned out well. We were turned out of our house.
turn sb/sth into sb/sth,,The frog turned into a prince. The witch turned the prince into a frog.
turn to,,She had nobody to turn to for help.
turn up,,He turned up unexpectedly.
turn up sth / turn sth up / turn up (somewhere),,Please turn up the volume. Please turn it up.
up and down,,The children were running up and down the hall.
up to date,,
up to date / out of date,,
wellbeing,,
Who cares?!,,
with respect to,,
with a view to doing sth,,
work out,,I work out at the gym three times a week.
worth sth/doing sth,,
Would you like...?,,
write sth down or write down sth,,
